index,Iframe,domain,filename
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/new/"" width=""100%""></iframe>",http://kcs.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_8031_20170729_132519/html_200_20170729_132519.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://seikat.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6657_20170729_134707/html_200_20170729_134707.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://arenda.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_393_20170729_141330/html_200_20170729_141330.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/new/"" width=""100%""></iframe>",http://purecut.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_8503_20170729_143506/html_200_20170729_143506.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://elset.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_3854_20170729_144304/html_200_20170729_144304.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-volga.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_1704_20170729_145133/html_200_20170729_145133.txt
0,"<iframe frameborder=""0"" height=""190"" src=""http://store.steampowered.com/widget/10/"" width=""646""></iframe>",http://deagle.ru,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4204_20170729_145814/html_200_20170729_145814.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/new/"" width=""100%""></iframe>",http://avantum.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_87_20170729_150031/html_200_20170729_150031.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://www.44.gostender.su/"" width=""100%"">			ÌêåÕÌêå¡ÌÔåö Ìêå±Ìêå¡ÌÔåÄÌêåáÌêåµÌÔåÛ Ìêå_Ìêåµ ÌêåÀÌêå_Ìêå«Ìêå«ÌêåµÌÔåÛÌêå_ÌêåüÌêå_Ìêå¡ÌêåµÌÔåâ iFrame		</iframe>",http://44-gostender.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_5154_20170729_151020/html_200_20170729_151020.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://funvideo.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4425_20170729_151127/html_200_20170729_151127.txt
