AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_digits_webname,s_count_of_letters_sub,s_count_of_letters_webname,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/martin/martinIframe/68f4ba3555f5bbd4aa0ef38bd2d0ac75a2b68eae0dffcb6c8d9d37c7462a2591,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,143,1,end,end,0.006896551724137931,0.013793103448275862,0.006896551724137931,0.9862068965517241,145,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/6a3d1d57ac2e4748a0c7b1b2ef706843c05091c104ebb005ba5fe0a310bfb01d,0,Joomla! 1.7 - Open Source Content Management,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,2,1,83,1,end,end,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.9764705882352941,85,False,False,False,ru,,0,,9,,True,False,True,False,,1,8,,1,35,8,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/6ddbf913853602b6c29daab6e63d000fc0dab351ba6260324523ff7d7683360d,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,3,1,188,1,end,end,0.005235602094240838,0.015706806282722512,0.005235602094240838,0.9842931937172775,191,False,False,False,com,,0,,16,,True,False,True,False,,1,9,,1,43,8,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/70a9c2a72d506db7ae02830e4158bfee5be8e1c4d1f4e74211e997dba0cd4839,0,,1,False,False,False,1,True,False,none,,False,False,True,True,,,,hidden,,0,6,2,0,start,start,0.0,0.0,0.0759493670886076,0.02531645569620253,79,True,False,False,org,,0,,21,,True,False,True,False,,1,11,,1,83,41,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/70f5370f93c2e293ab1587d6ba5a0d375f2e3744a0f3f8993e83affe8f8b1362,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,144,1,end,end,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.9863013698630136,146,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/7159271167f896aba9581014d61a70d6e3b32f1c5bca328cc6cd268456cd916a,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,2,1,167,1,end,end,0.005917159763313609,0.011834319526627219,0.005917159763313609,0.9881656804733728,169,False,False,False,ru,,0,,9,,True,False,True,False,,1,8,,1,36,9,0,,,,2,False,False,False
/Users/ketian/Desktop/martin/martinIframe/71e3d029554334d7ce064046f69d27e3155883f220457d24461016ae5930d22c,0,,1,False,False,False,1,True,False,,0.0,True,False,False,True,,,,,0.0,0,1,168,0,end,end,0.0,0.0,0.005952380952380952,1.0,168,False,False,False,ru,,0,,22,,False,False,True,False,,1,0,,0,31,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/7270ccd4a5fb81a32c457d662a27d9ca87d9f34d819b1eb22fad9462586aac51,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,2,0,445,0,end,end,0.0,0.0044742729306487695,0.0,0.9955257270693513,447,True,False,False,com,,0,,15,,True,False,True,False,,1,14,,1,49,10,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/77ec07ce9dc49623ebf75c9f62b5c0f2d6edec1e9511dab9ee8e6f01e2b466a2,0,Discuz! 7.2,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,2034,1,end,end,0.0004911591355599214,0.0009823182711198428,0.0004911591355599214,0.9990176817288802,2036,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/78d1e47560ee52912b4e233fcff4c3ef500a9679d687203e6fac7739304df202,0,,1,False,False,False,1,True,False,,91.0,True,False,False,True,,,,,3.0,1,0,30,0,end,end,0.0,0.03225806451612903,0.0,0.967741935483871,31,True,False,False,com,,0,,14,,True,False,True,False,,1,8,,1,41,9,0,,,,1,False,False,False
